1||u_hru_min
1||u_hru_min
1||u_hru_min
1||u_hru_min
1||u_hru_min
1||66
1||44
1||6
1||4
1||7
1||6
1||6
1||11
1||5
1||11
1||6
1||3
1||11
1||10
1||7
1||214
1||2
1||925
1||65
1||516
1||246
1||533
1||748
1||648
1||430
1||1149
1||422
1||110
1||127
1||115
1||231
|1|
1||550
1||812
1||827
|1|
1||128
1||313
1||61
1||815
|100|
1||910
1||745
1||112
1||625
1||415
1||454
1||355
1||1014
1||856
1||69
1||722
1||46
1||356
1||616
1||756
1||133
1||821
1||1127
1||45
1||449
1||841
|100|
1||223
1||629
1||1138
1||836
1||439
1||343
1||88
1||318
1||132
1||22
1||842
1||913
1||87
1||639
1||516
1||824
1||1045
1||842
1||830
1||351
1||106
1||628
1||110
1||232
1||219
1||1015
1||1020
1||640
1||621
1||249
1||1014
1||108
2||143
3||341
4||846
1||1021
2||130
3||739
1||91
2||717
3||621
1||147
1||141
2||650
1||75
1||40
2||137
1||51
2||627
3||340
4||949
1||628
2||1058
1||433
1||432
1||150
2||1054
1||826
1||444
2||27
1||941
2||1019
1||346
1||841
2||1046
3||355
1||831
1||236
1||16
1||1110
1||754
2||253
1||1127
2||53
1||42
1||257
2||447
1||64
2||656
1||14
1||1052
2||313
3||146
1||838
1||1141
1||942
1||716
1||1151
1||710
1||1126
2||44
1||519
2||74
3||1033
4||943
1||551
1||731
1||424
1||71
1||957
1||738
1||252
2||320
1||29
2||722
3||1123
4||1041
5||11
1||956
2||724
3||431
4||954
5||18
1||528
2||110
3||657
4||336
5||627
6||647
7||837
1||1119
2||855
3||612
4||1012
5||622
6||1141
1||441
2||823
3||833
4||86
5||648
6||517
7||326
1||94
2||547
3||950
4||927
5||636
6||941
7||513
8||1034
1||327
2||231
3||39
4||851
1||325
2||1155
